tld_name,renewal_price_usd,registration_price_usd
academy,21.5,21.5
accountant,11.98,9.98
accountants,66,66
actor,26.5,26.5
agency,15.5,15.5
apartments,35.5,35.5
associates,21.5,21.5
attorney,35.5,35.5
auction,21.5,21.5
band,16,16
bar,50,50
bargains,21,21
bet,13.15,13.15
bid,3.98,2.98
bike,21.5,21.5
bingo,35.5,35.5
biz,12.63,12.63
black,40,40
blog,20,20
blue,13.15,13.15
boutique,21.5,21.5
broker,20,20
builders,21.5,21.5
business,7,7
cab,21.5,21.5
cafe,21.5,21.5
camera,35.5,35.5
camp,36,36
capital,35.5,35.5
cards,21.5,21.5
care,21.5,21.5
careers,35.5,35.5
cash,21.5,21.5
casino,99,99
catering,21.5,21.5
cc,8,8
center,14,14
ceo,70,70
chat,21.5,21.5
cheap,21,21
church,23,23
city,14,14
claims,35,35
cleaning,35.5,35.5
clinic,35.5,35.5
clothing,21.5,21.5
cloud,15,15
coach,35.5,35.5
codes,35.5,35.5
coffee,21.5,21.5
college,45,45
com,8.39,8.39
community,21.5,21.5
company,7,7
computer,21.5,21.5
condos,35,35
construction,21.5,21.5
consulting,23,23
contact,7.5,7.5
contractors,21.5,21.5
cool,21.5,21.5
co,4.76,4.76
coupons,35,35
credit,66,66
creditcard,99,99
cricket,11.98,9.98
cruises,35,35
dance,16,16
date,3.98,2.98
dating,35.5,35.5
deals,21.5,21.5
degree,32,32
delivery,35.5,35.5
democrat,21.5,21.5
dental,35.5,35.5
dentist,35.5,35.5
design,33,33
diamonds,35.5,35.5
digital,23,23
direct,21.5,21.5
directory,14,14
discount,21.5,21.5
doctor,66,66
dog,35.5,35.5
domains,21.5,21.5
download,3.98,2.98
education,15.5,15.5
email,15.5,15.5
energy,66,66
engineer,21.5,21.5
engineering,35.5,35.5
enterprises,21.5,21.5
equipment,14,14
estate,21.5,21.5
events,21.5,21.5
exchange,21.5,21.5
expert,35.5,35.5
express,21.5,21.5
fail,21.5,21.5
faith,6.98,4.98
family,17.5,17.5
fans,50,50
farm,21.5,21.5
finance,35.5,35.5
financial,35.5,35.5
fish,21.5,21.5
fitness,21.5,21.5
flights,35.5,35.5
florist,21.5,21.5
football,14,14
forex,30,30
forsale,21.5,21.5
foundation,21.5,21.5
fun,15,15
fund,35,35
furniture,35.5,35.5
futbol,8.5,8.5
fyi,14,14
gallery,14,14
games,14.5,14.5
gifts,21.5,21.5
gives,21.5,21.5
glass,35.5,35.5
gmbh,21.5,21.5
gold,66,66
golf,35.5,35.5
graphics,14,14
gratis,14,14
green,50,50
gripe,21.5,21.5
group,10,10
guide,21.5,21.5
guru,23,23
haus,21.5,21.5
healthcare,35.5,35.5
hockey,35.5,35.5
holdings,35,35
holiday,35.5,35.5
hospital,35,35
host,65,65
house,21.5,21.5
immo,21.5,21.5
immobilien,21.5,21.5
industries,21.5,21.5
info,14.6,14.6
ink,19,19
institute,14,14
insure,35.5,35.5
international,15.5,15.5
investments,66,66
io,33,33
irish,10.5,10.5
jetzt,14,14
jewelry,35.5,35.5
kaufen,21.5,21.5
kim,13.15,13.15
kitchen,35.5,35.5
land,21.5,21.5
lawyer,35.5,35.5
lease,35,35
legal,35.5,35.5
lgbt,33,33
life,21,21
lighting,14,14
limited,21.5,21.5
limo,36,36
live,17.5,17.5
loan,3.98,2.98
loans,66,66
love,20,20
ltd,15.5,15.5
maison,35.5,35.5
management,14,14
market,21,21
marketing,21.5,21.5
markets,10,10
mba,21.5,21.5
media,23,23
memorial,35.5,35.5
men,3.98,2.98
me,4.76,4.76
mobi,17.4,17.4
moda,21.5,21.5
money,21.5,21.5
mortgage,32,32
movie,200,200
net,9.77,9.77
network,15.5,15.5
news,17.5,17.5
ninja,14.5,14.5
observer,8,8
online,25,25
org,9.93,9.93
org,4.76,4.76
partners,35.5,35.5
parts,21.5,21.5
party,3.98,2.98
pet,13.15,13.15
photography,15.5,15.5
photos,14,14
pictures,7.5,7.5
pink,13.15,13.15
pizza,36,36
place,10,10
plumbing,35.5,35.5
plus,21.5,21.5
press,49,49
pro,14.6,14.6
productions,21.5,21.5
promo,13.15,13.15
properties,21.5,21.5
pub,21.5,21.5
racing,6.98,4.98
realty,272,272
